company,rating
A. Morin,3.75
A. Morin,2.75
A. Morin,3
A. Morin,3.5
A. Morin,3.5
A. Morin,2.75
A. Morin,3.5
A. Morin,3.5
A. Morin,3.75
A. Morin,4
A. Morin,2.75
A. Morin,3
A. Morin,3.25
A. Morin,3.75
A. Morin,2.75
A. Morin,3
A. Morin,3.25
A. Morin,4
A. Morin,3.25
A. Morin,3.5
A. Morin,4
A. Morin,3.5
A. Morin,3.75
Arete,3.5
Arete,3.75
Arete,3.5
Arete,3.25
Arete,3.25
Arete,3.5
Arete,3.75
Arete,3.5
Arete,4
Arete,4
Arete,3.75
Arete,3.25
Arete,3.25
Arete,3.5
Arete,3.5
Arete,3.75
Arete,3.5
Arete,3.75
Arete,4
Arete,2.75
Arete,3.25
Arete,3.5
Bonnat,3.5
Bonnat,4
Bonnat,3.25
Bonnat,3.75
Bonnat,3.5
Bonnat,3.25
Bonnat,3.5
Bonnat,3.5
Bonnat,3.5
Bonnat,3.75
Bonnat,4
Bonnat,4
Bonnat,3.5
Bonnat,3.25
Bonnat,3
Bonnat,2.75
Bonnat,3
Bonnat,3
Bonnat,4
Bonnat,2.5
Bonnat,3.75
Bonnat,4
Bonnat,4
Bonnat,4
Bonnat,1.5
Bonnat,3
Bonnat,4
Domori,3.75
Domori,3.75
Domori,3
Domori,3.5
Domori,3.75
Domori,3.5
Domori,3
Domori,3
Domori,3
Domori,3.5
Domori,3.75
Domori,4
Domori,3.25
Domori,3.25
Domori,3.5
Domori,3.5
Domori,3.75
Domori,4
Domori,4
Domori,3
Domori,3.25
Domori,3.5
Fresco,3
Fresco,3.5
Fresco,3.5
Fresco,3.5
Fresco,3.25
Fresco,3.75
Fresco,3.75
Fresco,4
Fresco,3.5
Fresco,3.5
Fresco,4
Fresco,4
Fresco,3
Fresco,2.75
Fresco,3.25
Fresco,3.5
Fresco,3.5
Fresco,2.75
Fresco,3.25
Fresco,3
Fresco,3.25
Fresco,4
Fresco,2.75
Fresco,3
Fresco,3.25
Fresco,3.5
Guittard,3.75
Guittard,2.75
Guittard,2.75
Guittard,3.25
Guittard,3.5
Guittard,2.75
Guittard,3.25
Guittard,3.25
Guittard,3
Guittard,3
Guittard,3
Guittard,3.5
Guittard,3
Guittard,3
Guittard,3.5
Guittard,3.5
Guittard,3
Guittard,2.5
Guittard,3.5
Guittard,3.5
Guittard,3.5
Guittard,3
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),3.5
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),3.5
Hotel Chocolat (Coppeneur),2.75
Hotel Chocolat (Coppeneur),2.5
Hotel Chocolat (Coppeneur),2.75
Hotel Chocolat (Coppeneur),3.5
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),3.25
Hotel Chocolat (Coppeneur),2.75
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),2.75
Hotel Chocolat (Coppeneur),3
Hotel Chocolat (Coppeneur),2.5
Hotel Chocolat (Coppeneur),2.75
Hotel Chocolat (Coppeneur),3
Pralus,3.25
Pralus,3.25
Pralus,3.5
Pralus,2
Pralus,3
Pralus,3
Pralus,2
Pralus,3.5
Pralus,4
Pralus,3
Pralus,3.5
Pralus,3.5
Pralus,3.5
Pralus,3.75
Pralus,3.5
Pralus,3.5
Pralus,4
Pralus,3
Pralus,3
Pralus,3.25
Pralus,3.5
Pralus,4
Pralus,3
Pralus,3
Pralus,3.5
Soma,3.5
Soma,3.5
Soma,3.5
Soma,3.75
Soma,3.75
Soma,4
Soma,3.25
Soma,3.5
Soma,4
Soma,3.5
Soma,3.75
Soma,3.25
Soma,3.5
Soma,3.75
Soma,3.25
Soma,3.75
Soma,3.25
Soma,2.75
Soma,3.75
Soma,3.25
Soma,3.75
Soma,4
Soma,4
Soma,4
Soma,3.25
Soma,4
Soma,3.25
Soma,3.75
Soma,4
Soma,4
Soma,3.5
Soma,3.75
Soma,3.5
Soma,3.5
Soma,2.75
Soma,3.5
Soma,4
Soma,4
Soma,3.75
Soma,3.5
Soma,3.75
Soma,3
Soma,3.5
Soma,3
Soma,3.5
Soma,3.75
Soma,3.75
Valrhona,4
Valrhona,3.5
Valrhona,3.5
Valrhona,4
Valrhona,3.25
Valrhona,4
Valrhona,3.75
Valrhona,3.75
Valrhona,3.5
Valrhona,3
Valrhona,3.75
Valrhona,4
Valrhona,1.5
Valrhona,2.5
Valrhona,2.75
Valrhona,3.25
Valrhona,3
Valrhona,4
Valrhona,2.5
Valrhona,3
Valrhona,3.5
