company,specific_origin,REF,review_date,cocoa_percent,company_location,rating,bean_type,broad_origin,Blend
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,,Sao Tome,Single origin
A. Morin,Kpime,1676,2015,70.0,France,2.75,,Togo,Single origin
A. Morin,Atsane,1676,2015,70.0,France,3.0,,Togo,Single origin
A. Morin,Akata,1680,2015,70.0,France,3.5,,Togo,Single origin
A. Morin,Quilla,1704,2015,70.0,France,3.5,,Peru,Single origin
A. Morin,Carenero,1315,2014,70.0,France,2.75,Criollo,Venezuela,Single origin
A. Morin,Cuba,1315,2014,70.0,France,3.5,,Cuba,Single origin
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,Criollo,Venezuela,Single origin
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,Criollo,Venezuela,Single origin
A. Morin,Pablino,1319,2014,70.0,France,4.0,,Peru,Single origin
A. Morin,Panama,1011,2013,70.0,France,2.75,,Panama,Single origin
A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,Single origin
A. Morin,Brazil,1011,2013,70.0,France,3.25,,Brazil,Single origin
A. Morin,Equateur,1011,2013,70.0,France,3.75,,Ecuador,Single origin
A. Morin,Colombie,1015,2013,70.0,France,2.75,,Colombia,Single origin
A. Morin,Birmanie,1015,2013,70.0,France,3.0,,Burma,Single origin
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,,Papua New Guinea,Single origin
A. Morin,Chuao,1015,2013,70.0,France,4.0,Trinitario,Venezuela,Single origin
A. Morin,Piura,1019,2013,70.0,France,3.25,,Peru,Single origin
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,,Peru,Single origin
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,,Peru,Single origin
A. Morin,Bolivia,797,2012,70.0,France,3.5,,Bolivia,Single origin
A. Morin,Peru,797,2012,63.0,France,3.75,,Peru,Single origin
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,U.S.A.,3.75,,Peru,Single origin
Acalli,"Tumbes, Norandino",1470,2015,70.0,U.S.A.,3.75,Criollo,Peru,Single origin
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,Trinitario,Fiji,Single origin
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,Trinitario,Fiji,Single origin
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,Trinitario,Fiji,Single origin
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,Trinitario,Fiji,Single origin
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador,Single origin
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,Forastero (Arriba),Ecuador,Single origin
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,Criollo,Mexico,Single origin
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,Trinitario,Indonesia,Single origin
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,Single origin
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,Single origin
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,Trinitario,Trinidad,Single origin
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,Trinitario,Vietnam,Single origin
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,Single origin
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,Trinitario,Venezuela,Single origin
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,,Peru,Single origin
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,Forastero (Nacional),Ecuador,Single origin
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,"Criollo, Trinitario",Nicaragua,Single origin
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,Trinitario,Vietnam,Single origin
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,Forastero,Tanzania,Single origin
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,U.S.A.,2.75,,Nicaragua,Single origin
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,U.S.A.,3.0,,Peru,Single origin
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,U.S.A.,2.5,,Bolivia,Single origin
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,U.S.A.,2.5,,Peru,Single origin
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,U.S.A.,2.75,,Ecuador,Single origin
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,U.S.A.,2.5,,Venezuela,Single origin
Altus aka Cao Artisan,Conacado,1125,2013,60.0,U.S.A.,3.0,Trinitario,Dominican Republic,Single origin
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,U.S.A.,3.25,,Bolivia,Single origin
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,U.S.A.,3.0,,Bolivia,Single origin
Altus aka Cao Artisan,Peru,1133,2013,60.0,U.S.A.,3.25,,Peru,Single origin
Amano,Morobe,725,2011,70.0,U.S.A.,4.0,,Papua New Guinea,Single origin
Amano,Dos Rios,470,2010,70.0,U.S.A.,3.75,,Dominican Republic,Single origin
Amano,Guayas,470,2010,70.0,U.S.A.,4.0,,Ecuador,Single origin
Amano,Chuao,544,2010,70.0,U.S.A.,3.0,Trinitario,Venezuela,Single origin
Amano,Montanya,363,2009,70.0,U.S.A.,3.0,,Venezuela,Single origin
Amano,"Bali, Jembrana",304,2008,70.0,U.S.A.,2.75,,Indonesia,Single origin
Amano,Madagascar,129,2007,70.0,U.S.A.,3.5,Trinitario,Madagascar,Single origin
Amano,Cuyagua,147,2007,70.0,U.S.A.,3.0,,Venezuela,Single origin
Amano,Ocumare,175,2007,70.0,U.S.A.,3.75,Criollo,Venezuela,Single origin
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,Forastero,Ghana,Single origin
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,,Ecuador,Single origin
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,,Ecuador,Single origin
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,Forastero,Ghana,Single origin
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,,Peru,Single origin
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,Trinitario,Peru,Single origin
Ambrosia,Belize,1494,2015,64.0,Canada,3.0,Trinitario,Belize,Single origin
Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,Single origin
Ambrosia,Dominican Republic,1498,2015,75.0,Canada,3.25,,Dominican Republic,Single origin
Ambrosia,Papua New Guinea,1498,2015,63.0,Canada,3.25,,Papua New Guinea,Single origin
Ambrosia,Venezuela,1498,2015,70.0,Canada,3.25,,Venezuela,Single origin
Ambrosia,Peru,1498,2015,68.0,Canada,3.5,,Peru,Single origin
Amedei,"Piura, Blanco de Criollo",979,2012,70.0,Italy,3.75,,Peru,Single origin
Amedei,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela,Single origin
Amedei,Nine,111,2007,75.0,Italy,4.0,Blend,,Single origin
Amedei,Chuao,111,2007,70.0,Italy,5.0,Trinitario,Venezuela,Single origin
Amedei,Ecuador,123,2007,70.0,Italy,3.0,Trinitario,Ecuador,Single origin
Amedei,Jamaica,123,2007,70.0,Italy,3.0,Trinitario,Jamaica,Single origin
Amedei,Grenada,123,2007,70.0,Italy,3.5,Trinitario,Grenada,Single origin
Amedei,Venezuela,123,2007,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela,Single origin
Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,Single origin
Amedei,Trinidad,129,2007,70.0,Italy,3.5,Trinitario,Trinidad,Single origin
Amedei,Toscano Black,170,2007,63.0,Italy,3.5,Blend,,Single origin
Amedei,Toscano Black,40,2006,70.0,Italy,5.0,Blend,,Single origin
Amedei,Toscano Black,75,2006,66.0,Italy,4.0,Blend,,Single origin
AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,Single origin
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,Single origin
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,Single origin
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,Single origin
AMMA,"Monte Alegre, 3 diff. plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,Single origin
Anahata,Elvesia,1259,2014,75.0,U.S.A.,3.0,,Dominican Republic,Single origin
Animas,Alto Beni,1852,2016,75.0,U.S.A.,3.5,,Bolivia,Single origin
Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,Single origin
Ara,Chiapas,1379,2014,72.0,France,2.5,,Mexico,Single origin
Ara,Equateur,1379,2014,75.0,France,2.75,,Ecuador,Single origin
Ara,Trincheras,1379,2014,75.0,France,3.0,,Venezuela,Single origin
Arete,San Juan,1724,2016,70.0,U.S.A.,3.5,Trinitario,Trinidad,Single origin
