country,count
Sao Tome,17
Togo,3
Peru,176
Venezuela,228
Cuba,11
Panama,8
Madagascar,157
Brazil,58
Ecuador,207
Colombia,43
Burma,1
Papua New Guinea,47
Bolivia,58
Fiji,8
Mexico,31
Indonesia,18
Trinidad,41
Vietnam,38
Nicaragua,61
Tanzania,34
Dominican Republic,177
Ghana,40
Belize,50
,73
Jamaica,21
Grenada,19
Guatemala,29
Honduras,15
Costa Rica,40
Haiti,10
Congo,10
Philippines,5
Malaysia,3
Bali,1
Africa,3
Brasil,1
Gabon,1
Ivory Coast,5
Carribean,11
Sri Lanka,2
Puerto Rico,4
Uganda,8
Martinique,1
Principe,8
Vanuatu,8
Australia,3
Liberia,3
West Africa,6
Hawaii,29
St Lucia,8
Tobago,5
South America,8
India,4
Central America,1
Solomon Islands,4
Nigeria,1
El Salvador,2
Samoa,2
Cameroon,1
Java,2
SMartin,1
Pangoa,1
Nacional,1
Central,4
Greneda,1
Suriname,1
